model,embed_dim,hidden_dim,num_layers,total_params,trainable_params,val_acc,test_acc,val_macro_f1,test_macro_f1,train_time_s,train_cfg
birnn,32,32,1,415202,33474,0.7208588957055214,0.687206020696143,0.7206689970928521,0.677271935585415,352.51,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,32,32,2,440290,58562,0.6955521472392638,0.6796801505174036,0.6954402041192123,0.6608460074375567,534.05,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,32,64,1,497826,116098,0.7492331288343558,0.7097836312323612,0.7486084998682342,0.7004643031422497,183.4,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,32,64,2,597154,215426,0.7024539877300614,0.7064910630291628,0.7024532877914293,0.6994235997824905,542.03,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
birnn,32,96,1,629602,247874,0.7530674846625767,0.6933207902163687,0.7528994974282923,0.6755164948762509,316.06,"{""epochs"": 10, ""lr"": 0.001, ""weight_decay"": 0.0001, ""max_grad_norm"": 1.0, ""lr_plateau_factor"": 0.5, ""lr_plateau_patience"": 2, ""early_stop_patience"": 3}"
